ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1, 50, 64, 1, 24.62, 8.10, DALM
1, 50, 64, 2, 23.40, 456.59, DALM
1, 50, 64, 3, 23.40, 99.24, DALM
1, 50, 64, 4, 23.40, 98.29, DALM
1, 50, 64, 5, 23.40, 98.60, DALM
1, 50, 64, 6, 23.40, 99.70, DALM
1, 50, 64, 7, 23.40, 98.90, DALM
1, 50, 64, 8, 23.40, 99.85, DALM
1, 50, 128, 0, 14.16, 0, DALM
1, 50, 128, 1, 24.78, 41.07, DALM
1, 50, 128, 2, 23.55, 175.52, DALM
1, 50, 128, 3, 23.55, 947.48, DALM
1, 50, 128, 4, 23.55, 952.16, DALM
1, 50, 128, 5, 23.55, 956.41, DALM
1, 50, 128, 6, 23.55, 951.11, DALM
1, 50, 128, 7, 23.55, 955.06, DALM
1, 50, 128, 8, 23.55, 952.85, DALM
1, 50, 256, 0, 14.16, 0, DALM
1, 50, 256, 1, 24.79, 39.65, DALM
1, 50, 256, 2, 24.79, 52.74, DALM
1, 50, 256, 3, 24.78, 29.34, DALM
1, 50, 256, 4, 24.77, 45.99, DALM
1, 50, 256, 5, 24.77, 66.20, DALM
1, 50, 256, 6, 23.63, 333.90, DALM
1, 50, 256, 7, 23.63, 354.17, DALM
1, 50, 256, 8, 23.63, 350.35, DALM
2, 10, 64, 0, 28.12, 0, DALM
2, 10, 64, 1, 33.34, 8.11, DALM
2, 10, 64, 2, 32.08, 432.25, DALM
2, 10, 64, 3, 32.08, 122.74, DALM
2, 10, 64, 4, 32.08, 123.20, DALM
2, 10, 64, 5, 32.08, 123.46, DALM
2, 10, 64, 6, 32.08, 123.86, DALM
2, 10, 64, 7, 32.08, 122.97, DALM
2, 10, 64, 8, 32.08, 123.83, DALM
2, 10, 128, 0, 28.12, 0, DALM
2, 10, 128, 1, 33.21, 41.78, DALM
2, 10, 128, 2, 32.25, 124.55, DALM
2, 10, 128, 3, 32.25, 910.41, DALM
2, 10, 128, 4, 32.25, 907.70, DALM
2, 10, 128, 5, 32.25, 905.03, DALM
2, 10, 128, 6, 32.25, 909.82, DALM
2, 10, 128, 7, 32.25, 907.69, DALM
2, 10, 128, 8, 32.25, 901.25, DALM
2, 10, 256, 0, 28.12, 0, DALM
2, 10, 256, 1, 33.44, 37.85, DALM
2, 10, 256, 2, 32.63, 771.20, DALM
2, 10, 256, 3, 32.63, 856.60, DALM
2, 10, 256, 4, 32.63, 857.92, DALM
2, 10, 256, 5, 32.63, 849.43, DALM
2, 10, 256, 6, 32.63, 855.20, DALM
2, 10, 256, 7, 32.63, 864.09, DALM
2, 10, 256, 8, 32.63, 848.70, DALM
2, 20, 64, 0, 22.08, 0, DALM
2, 20, 64, 1, 29.83, 8.07, DALM
2, 20, 64, 2, 28.21, 268.64, DALM
2, 20, 64, 3, 28.21, 100.63, DALM
2, 20, 64, 4, 28.21, 100.16, DALM
2, 20, 64, 5, 28.21, 100.78, DALM
2, 20, 64, 6, 28.21, 101.46, DALM
2, 20, 64, 7, 28.21, 100.09, DALM
2, 20, 64, 8, 28.21, 99.75, DALM
2, 20, 128, 0, 22.08, 0, DALM
2, 20, 128, 1, 29.82, 42.48, DALM
2, 20, 128, 2, 28.48, 126.87, DALM
2, 20, 128, 3, 28.48, 831.87, DALM
2, 20, 128, 4, 28.48, 841.99, DALM
2, 20, 128, 5, 28.48, 837.11, DALM
2, 20, 128, 6, 28.48, 842.63, DALM
2, 20, 128, 7, 28.48, 835.83, DALM
2, 20, 128, 8, 28.48, 834.26, DALM
2, 20, 256, 0, 22.08, 0, DALM
2, 20, 256, 1, 29.88, 38.77, DALM
2, 20, 256, 2, 28.96, 361.75, DALM
2, 20, 256, 3, 28.93, 51.57, DALM
2, 20, 256, 4, 28.96, 858.83, DALM
2, 20, 256, 5, 28.94, 51.38, DALM
2, 20, 256, 6, 28.94, 35.82, DALM
2, 20, 256, 7, 28.96, 636.18, DALM
2, 20, 256, 8, 28.95, 51.02, DALM
2, 50, 64, 0, 14.16, 0, DALM
2, 50, 64, 1, 25.49, 8.29, DALM
2, 50, 64, 2, 24.58, 382.40, DALM
2, 50, 64, 3, 24.58, 95.74, DALM
2, 50, 64, 4, 24.58, 92.69, DALM
2, 50, 64, 5, 24.58, 94.75, DALM
2, 50, 64, 6, 24.58, 93.30, DALM
2, 50, 64, 7, 24.58, 91.43, DALM
2, 50, 64, 8, 24.58, 93.21, DALM
2, 50, 128, 0, 14.16, 0, DALM
2, 50, 128, 1, 25.54, 43.13, DALM
2, 50, 128, 2, 24.57, 167.65, DALM
2, 50, 128, 3, 24.57, 223.76, DALM
2, 50, 128, 4, 24.57, 213.64, DALM
2, 50, 128, 5, 24.57, 225.90, DALM
2, 50, 128, 6, 24.57, 216.71, DALM
2, 50, 128, 7, 24.57, 225.50, DALM
2, 50, 128, 8, 24.57, 222.53, DALM
2, 50, 256, 0, 14.16, 0, DALM
2, 50, 256, 1, 25.55, 38.83, DALM
2, 50, 256, 2, 25.55, 33.10, DALM
2, 50, 256, 3, 25.55, 32.64, DALM
2, 50, 256, 4, 24.79, 529.59, DALM
2, 50, 256, 5, 24.79, 595.63, DALM
2, 50, 256, 6, 24.79, 611.87, DALM
2, 50, 256, 7, 24.79, 584.84, DALM
2, 50, 256, 8, 24.79, 596.13, DALM
