ImageNum, Sigma, DictSize, Iter, PSNR(db), Time, Method
1,20,64,7,29.86,502.25, FISTA
1,20,64,8,29.86,541.45, FISTA
1,20,128,0,22.12,0, FISTA
1,20,128,1,29.94,446.48, FISTA
1,20,128,2,29.94,305.63, FISTA
1,20,128,3,29.94,340.08, FISTA
1,20,128,4,29.94,322.42, FISTA
1,20,128,5,29.94,341.63, FISTA
1,20,128,6,29.95,339.64, FISTA
1,20,128,7,29.95,308.52, FISTA
1,20,128,8,29.95,318.78, FISTA
1,20,256,0,22.12,0, FISTA
1,20,256,1,29.95,582.8, FISTA
1,20,256,2,29.96,553.47, FISTA
1,20,256,3,29.96,603.19, FISTA
1,20,256,4,29.96,574.2, FISTA
1,20,256,5,29.96,459.11, FISTA
1,20,256,6,29.96,459.83, FISTA
1,20,256,7,29.97,505.33, FISTA
1,20,256,8,29.97,444.94, FISTA
1,50,64,0,14.15,0, FISTA
1,50,64,1,24.6,296.63, FISTA
1,50,64,2,24.6,380.58, FISTA
1,50,64,3,24.6,399.78, FISTA
1,50,64,4,24.6,407, FISTA
1,50,64,5,24.6,469.66, FISTA
1,50,64,6,24.6,380.48, FISTA
1,50,64,7,24.6,448.28, FISTA
1,50,64,8,24.6,486.08, FISTA
1,50,128,0,14.15,0, FISTA
1,50,128,1,24.77,430.55, FISTA
1,50,128,2,24.77,548.66, FISTA
1,50,128,3,24.77,318.97, FISTA
1,50,128,4,24.77,320.98, FISTA
1,50,128,5,24.77,317.86, FISTA
1,50,128,6,24.77,296.98, FISTA
1,50,128,7,24.77,660.8, FISTA
1,50,128,8,24.77,638.31, FISTA
1,50,256,0,14.15,0, FISTA
1,50,256,1,24.77,501.84, FISTA
1,50,256,2,24.78,480.67, FISTA
1,50,256,3,24.78,467.22, FISTA
1,50,256,4,24.78,494.72, FISTA
1,50,256,5,24.78,483.42, FISTA
1,50,256,6,24.78,981.8, FISTA
1,50,256,7,24.78,478.75, FISTA
1,50,256,8,24.78,1090.39, FISTA
2,10,64,0,28.13,0, FISTA
2,10,64,1,33.33,1240, FISTA
2,10,64,2,33.33,1659.11, FISTA
2,10,64,3,33.33,1740.44, FISTA
2,10,64,4,33.33,1400.08, FISTA
2,10,64,5,33.33,699.39, FISTA
2,10,64,6,33.33,723.66, FISTA
2,10,64,7,33.33,802.13, FISTA
2,10,64,8,33.33,957.52, FISTA
2,10,128,0,28.13,0, FISTA
2,10,128,1,33.2,709.48, FISTA
2,10,128,2,33.2,459.44, FISTA
2,10,128,3,33.2,447.31, FISTA
2,10,128,4,33.2,482.02, FISTA
2,10,128,5,33.2,473.23, FISTA
2,10,128,6,33.2,392.45, FISTA
2,10,128,7,33.2,296.25, FISTA
2,10,128,8,33.2,303.3, FISTA
2,10,256,0,28.13,0, FISTA
2,10,256,1,33.43,467.91, FISTA
2,10,256,2,33.43,473.97, FISTA
2,10,256,3,33.43,497.91, FISTA
2,10,256,4,33.43,465.34, FISTA
2,10,256,5,33.43,472.2, FISTA
2,10,256,6,33.43,463.64, FISTA
2,10,256,7,33.43,462.83, FISTA
2,10,256,8,33.43,468.08, FISTA
2,20,64,0,22.11,0, FISTA
2,20,64,1,29.87,305.73, FISTA
2,20,64,2,29.87,448.95, FISTA
2,20,64,3,29.87,442.75, FISTA
2,20,64,4,29.87,299.23, FISTA
2,20,64,5,29.88,489.17, FISTA
2,20,64,6,29.88,503.11, FISTA
2,20,64,7,29.87,531.58, FISTA
2,20,64,8,29.87,628.23, FISTA
2,20,128,0,22.11,0, FISTA
2,20,128,1,29.86,467.78, FISTA
2,20,128,2,29.86,303.39, FISTA
2,20,128,3,29.86,303.88, FISTA
2,20,128,4,29.86,296.44, FISTA
2,20,128,5,29.87,298.63, FISTA
2,20,128,6,29.87,307.84, FISTA
2,20,128,7,29.87,304.59, FISTA
2,20,128,8,29.87,305.88, FISTA
2,20,256,0,22.11,0, FISTA
2,20,256,1,29.93,449.3, FISTA
2,20,256,2,29.93,503.59, FISTA
2,20,256,3,29.93,495.02, FISTA
2,20,256,4,29.93,466.64, FISTA
2,20,256,5,29.93,463.88, FISTA
2,20,256,6,29.93,492.28, FISTA
2,20,256,7,29.94,479.7, FISTA
2,20,256,8,29.94,468.77, FISTA
2,50,64,0,14.16,0, FISTA
2,50,64,1,25.52,309.63, FISTA
2,50,64,2,25.52,433.95, FISTA
2,50,64,3,25.52,451.58, FISTA
2,50,64,4,25.52,407.53, FISTA
2,50,64,5,25.52,373.2, FISTA
2,50,64,6,25.52,383.64, FISTA
2,50,64,7,25.52,456.06, FISTA
2,50,64,8,25.52,464.58, FISTA
2,50,128,0,14.15,0, FISTA
2,50,128,1,25.61,1757.67, FISTA
2,50,128,2,25.62,1246.34, FISTA
2,50,128,3,25.62,1291.47, FISTA
2,50,128,4,25.62,1322.27, FISTA
2,50,128,5,25.62,1682.47, FISTA
2,50,128,6,25.62,1317.36, FISTA
2,50,128,7,25.62,1750.67, FISTA
2,50,128,8,25.62,1844.56, FISTA
2,50,256,0,14.15,0, FISTA
2,50,256,1,25.61,2029.23, FISTA
2,50,256,2,25.61,2012.47, FISTA
2,50,256,3,25.61,1979.56, FISTA
2,50,256,4,25.61,2013.02, FISTA
2,50,256,5,25.61,1668.58, FISTA
2,50,256,6,25.61,1373.7, FISTA
2,50,256,7,25.61,493.47, FISTA
2,50,256,8,25.61,483.66, FISTA
1, 10, 64, 0, 28.14, 0, L1LS
1, 10, 64, 1, 33.87, 552.09, L1LS
1, 10, 64, 2, 33.87, 380.97, L1LS
1, 10, 64, 3, 33.87, 369.92, L1LS
1, 10, 64, 4, 33.87, 365.14, L1LS
1, 10, 64, 5, 33.87, 356.63, L1LS
1, 10, 64, 6, 33.87, 368.88, L1LS
1, 10, 64, 7, 33.87, 347.70, L1LS
1, 10, 64, 8, 33.87, 337.64, L1LS
1, 10, 128, 0, 28.14, 0, L1LS
1, 10, 128, 1, 33.85, 3936.77, L1LS
1, 10, 128, 2, 33.85, 4339.19, L1LS
1, 10, 128, 3, 33.85, 3401.09, L1LS
1, 10, 128, 4, 33.85, 7703.33, L1LS
1, 10, 128, 5, 33.85, 12463.34, L1LS
1, 10, 128, 6, 33.85, 12177.31, L1LS
1, 10, 128, 7, 33.86, 3763.44, L1LS
1, 10, 128, 8, 33.86, 3936.06, L1LS
1, 10, 256, 0, 28.14, 0, L1LS
1, 10, 256, 1, 33.97, 8816.69, L1LS
1, 10, 256, 2, 33.97, 9006.09, L1LS
1, 10, 256, 3, 33.97, 9033.42, L1LS
1, 10, 256, 4, 33.97, 9029.61, L1LS
1, 10, 256, 5, 33.97, 9047.28, L1LS
1, 10, 256, 6, 33.97, 9092.20, L1LS
1, 10, 64, 0, 28.13, 0, MP
1, 10, 64, 1, 33.92, 41.02, MP
1, 10, 64, 2, 33.91, 63.26, MP
1, 10, 64, 3, 33.90, 64.71, MP
1, 10, 64, 4, 33.89, 69.06, MP
1, 10, 64, 5, 33.88, 62.16, MP
1, 10, 64, 6, 33.87, 64.04, MP
1, 10, 64, 7, 33.86, 64.48, MP
1, 10, 64, 8, 33.86, 64.19, MP
1, 10, 128, 0, 28.13, 0, MP
1, 10, 128, 1, 34.00, 76.71, MP
1, 10, 128, 2, 33.99, 61.29, MP
1, 10, 128, 3, 33.99, 74.62, MP
1, 10, 128, 4, 33.98, 70.88, MP
1, 10, 128, 5, 33.97, 69.60, MP
1, 10, 128, 6, 33.97, 61.86, MP
1, 10, 128, 7, 33.97, 61.49, MP
1, 10, 128, 8, 33.97, 76.48, MP
1, 10, 256, 0, 28.13, 0, MP
